Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,Schedule,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
745/746,COTTONWOOD? ALBION/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"30,000","7,000",http://infomaps.translink.ca/Public_Timetables/148/tt745.pdf; http://infomaps.translink.ca/Public_Timetables/148/tt746.pdf,400m,10.6, 745/746 run as a connected loop; Low data sampling 2016 ,"- September 2017, Extend 60m service until 2100 (M-F)","- Summer 2018, Introduce new routes, route 745 replaces northeastern portion of C45 and C46 between Haney Place and Jackson Rd, route 746 replaces southwestern portion of C45 and C46 between Haney Place and Jackson Rd","- Winter 2018, Add 2 PM peak trips 16:00-18:00 to connect with WCE (M-F)",0,0,0,0,0,0
748,THORNHILL/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"17,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt748.pdf,400m,18.7, Low data sampling 2016 ,"- Summer 2018, Change route name from C48 to 748","- Fall 2018, Remove stop at Port Haney Station for 10:18 WB trip (All days)",0,0,0,0,0,0,0
749,RUSKIN/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,"14,000","6,000",http://infomaps.translink.ca/Public_Timetables/148/tt749.pdf,400m,19.4, Low data sampling 2016 ,"- Summer 2018, Change route name from C49 to 749",0,0,0,0,0,0,0,0
791,HANEY PLACE/BRAID STN,Maple Ridge/Pitt Meadows,Std. Bus,Basic,"38,000","24,000",http://infomaps.translink.ca/Public_Timetables/148/tt791.pdf,400m,25.9,,0,0,0,0,0,0,0,0,0
N10,DOWNTOWN/RICHMOND NIGHTBUS,Vancouver/UBC,Std. Bus,Special,"91,000","121,000",http://infomaps.translink.ca/Public_Timetables/148/ttN10.pdf,400m,19.4,,0,0,0,0,0,0,0,0,0
N15,DOWNTOWN/CAMBIE NIGHTBUS,Vancouver/UBC,Std. Bus,Special,"95,000","146,000",http://infomaps.translink.ca/Public_Timetables/148/ttN15.pdf,400m,9.7,,0,0,0,0,0,0,0,0,0
N17,DOWNTOWN/UBC NIGHTBUS,Vancouver/UBC,Artic. Bus,Special,"82,000","116,000",http://infomaps.translink.ca/Public_Timetables/148/ttN17.pdf,400m,11.5,,"- Fall 2015, Increase freq from 30 to 20m from 26-27hr (M-F, Sat)","- Spring 2018, One trip removed from service 02:00-03:00 (All) and reinvested to extend service to 03:30 (Fri-Sat)",0,0,0,0,0,0,0
N19,DOWNTOWN/SURREY CTRL STN NIGHTBUS,Burnaby/New Westminster,Artic. Bus,Special,"205,000","178,000",http://infomaps.translink.ca/Public_Timetables/148/ttN19.pdf,400m,27.4,,"- Fall 2015, Add add'l trips to provide 24hr service between first and last SkyTrain","- Fall 2015, Add one additional EB trip from 26-27hr (all days)",0,0,0,0,0,0,0
N20,DOWNTOWN/VICTORIA NIGHTBUS,Vancouver/UBC,Std. Bus,Special,"141,000","141,000",http://infomaps.translink.ca/Public_Timetables/148/ttN20.pdf,400m,15.9,,"- Fall 2015, Increase freq from 30 to 20m from 26-27hr (M-F, Sat)","- Summer 2016, Revise southern terminus from Harrison Loop to Marine Drive Station","- June 2017, Extend 30m service until 2900 (M-F; Sat)",0,0,0,0,0,0
N22,DOWNTOWN/MACDONALD NIGHTBUS,Vancouver/UBC,Std. Bus,Special,"89,000","116,000",http://infomaps.translink.ca/Public_Timetables/148/ttN22.pdf,400m,10.8, Low data sampling 2014-2015 ,"- Summer 2016, Truncate route at Dunbar Loop; provide two-way service along W. 41st Ave, Mackenzie St, and Macdonald St",0,0,0,0,0,0,0,0
N24,DOWNTOWN/ LYNN VALLEY NIGHTBUS,North Shore,Std. Bus,Special,"107,000","134,000",http://infomaps.translink.ca/Public_Timetables/148/ttN24.pdf,400m,17.7,,"- Fall 2015, Increase freq from 30 to 20m from 26-27hr (M-F, Sat)",0,0,0,0,0,0,0,0
N35,DOWNTOWN/SFU NIGHTBUS,Burnaby/New Westminster,Artic. Bus,Special,"97,000","136,000",http://infomaps.translink.ca/Public_Timetables/148/ttN35.pdf,400m,17.8, Low data sampling 2014 ,"- Summer 2015, Increase freq from 30 to 20m from 26-27hr (Sat)","- Fall 2015, Increase freq from 30 to 20m from 26-27hr (M-F)","- June 2017, Extend 30m service until 2900 (M-F; Sat); Increase service from 30 to 20m from 2600-2700 (Sat)","- Winter 2017, Add one trip WB at 05:00 (Sat); Add five trips WB and three trips EB 02:00-04:00 (Sun); Service now provided on corridor 30 min or better 24/7 when combined with 95",0,0,0,0,0
N8,DOWNTOWN/FRASER NIGHTBUS,Vancouver/UBC,Std. Bus,Special,"121,000","141,000",http://infomaps.translink.ca/Public_Timetables/148/ttN8.pdf,400m,12.6,,"- Fall 2015, Increase freq from 30 to 20m from 26-27hr (M-F, Sat)","- Summer 2016, Revise southern terminus from Fraser & Marine to Marine Drive Station","- June 2017, Extend 30m service until 2900 (M-F; Sat)",0,0,0,0,0,0
N9,DOWNTOWN/LOUGHEED STN/COQ CTRL STN NIGHTBUS,Vancouver/UBC,Std. Bus,Special,"193,000","178,000",http://infomaps.translink.ca/Public_Timetables/148/ttN9.pdf,400m,28.1, Low data sampling 2015 ,"- Fall 2015, Increase freq from 30 to 20m from 26-27hr (M-F, Sat)","- December 2016, Revise due to Evergreen Extension; Extend 30m service from 2500-2900 (all days)","- June 2017, Extend 30m service until 2830 (all days); Extend early morning WB service to 0630 (Sat; S/H)",0,0,0,0,0,0
